rules,support,confidence,lift,count
{Organic Fuji Apples} => {Bag of Organic Bananas},0.000546833,0.318132465,2.695363788,1758
{Zero Calorie Cola} => {Soda},0.001234885,0.463893433,41.66854619,3970
{YoKids Squeeze Organic Blueberry Blue Yogurt} => {YoKids Squeeze! Organic Strawberry Flavor Yogurt},0.000526926,0.48706153,230.0340015,1694
{Red Delicious Apple} => {Banana},0.000550255,0.417906922,2.843033439,1769
{Blueberries Pint} => {Banana},0.000525993,0.373371605,2.540058333,1691
{Small Macintosh Apple} => {Banana},0.000538435,0.34386174,2.339301827,1731
{Non-Fat Greek Yogurt With Strawberries on the Bottom} => {Banana},0.000555232,0.383870968,2.611485814,1785
{Bolthouse Baby Carrots} => {Banana},0.000512928,0.348920863,2.373719195,1649
{All Natural Apricot Sparkling Water} => {Sparkling Water Grapefruit},0.000570162,0.333454612,14.12664472,1833
"{Organic Peach Lowfat Yogurt} => {Yogurt, Lowfat, Strawberry}",0.000538435,0.407869934,163.2939535,1731
{Golden Delicious Apple} => {Banana},0.000695517,0.432077295,2.939434915,2236
{Almond Milk Blueberry Yogurt} => {Almond Milk Peach Yogurt},0.000702982,0.479219678,327.3063272,2260
{Almond Milk Peach Yogurt} => {Almond Milk Blueberry Yogurt},0.000702982,0.480135968,327.3063272,2260
{Almond Milk Blueberry Yogurt} => {Almond Milk Strawberry Yogurt},0.000840468,0.572943172,322.073808,2702
{Almond Milk Strawberry Yogurt} => {Almond Milk Blueberry Yogurt},0.000840468,0.47246022,322.073808,2702
{Almond Milk Peach Yogurt} => {Almond Milk Strawberry Yogurt},0.000770481,0.526237519,295.8187299,2477
{Almond Milk Strawberry Yogurt} => {Almond Milk Peach Yogurt},0.000770481,0.433117678,295.8187299,2477
"{Lowfat Blueberry Yogurt} => {Yogurt, Lowfat, Strawberry}",0.000620553,0.461698681,184.8447179,1995
{Mandarins Bag} => {Banana},0.000572962,0.338292011,2.301410791,1842
{Chocolate Peanut Butter} => {Coconut Chia Bar},0.000581671,0.40154606,277.1999113,1870
{Coconut Chia Bar} => {Chocolate Peanut Butter},0.000581671,0.40154606,277.1999113,1870
{Medium Scarlet Raspberries} => {Strawberries},0.000628952,0.401429422,9.027883768,2022
{Medium Scarlet Raspberries} => {Banana},0.000580738,0.370657137,2.521591724,1867
{Organic Greek Lowfat Yogurt With Blueberries} => {Organic Greek Lowfat Yogurt With Strawberries},0.000609355,0.410175879,208.9468817,1959
{Organic Greek Lowfat Yogurt With Strawberries} => {Organic Greek Lowfat Yogurt With Blueberries},0.000609355,0.310410395,208.9468817,1959
{Apples} => {Clementines},0.001247016,0.318807157,33.23038745,4009
{Organic Cherries} => {Organic Strawberries},0.000527859,0.301474507,3.66174841,1697
{Non Fat Black Cherry on the Bottom Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt},0.000512617,0.353420545,178.255808,1648
{Non Fat Black Cherry on the Bottom Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt},0.000527859,0.363928801,150.3257408,1697
{Blueberry Whole Milk Yogurt Pouch} => {Yotoddler Organic Pear Spinach Mango Yogurt},0.00056643,0.369821284,194.1108292,1821
{Blueberry Whole Milk Yogurt Pouch} => {Organic Whole Milk Strawberry Beet Berry Yogurt Pouch},0.000633306,0.413484972,211.638606,2036
{Organic Whole Milk Strawberry Beet Berry Yogurt Pouch} => {Blueberry Whole Milk Yogurt Pouch},0.000633306,0.324152205,211.638606,2036
{Raspberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt},0.000523815,0.334857825,168.8932717,1684
{Raspberry on the Bottom Nonfat Greek Yogurt} => {Strawberry on the Bottom Nonfat Greek Yogurt},0.000543101,0.347186319,146.1134011,1746
{Raspberry on the Bottom Nonfat Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt},0.000574206,0.367070988,151.6236639,1846
{Organic Black Plum} => {Organic Strawberries},0.00053408,0.321475379,3.904681593,1717
{Vanilla Almond Milk Yogurt} => {Almond Milk Strawberry Yogurt},0.000563319,0.332659809,187.001114,1811
{Almond Milk Strawberry Yogurt} => {Vanilla Almond Milk Yogurt},0.000563319,0.316663752,187.001114,1811
{Bosc Pear} => {Banana},0.000693029,0.390124321,2.654027569,2228
{Sweet Potato Yam} => {Banana},0.000787278,0.404183967,2.749675761,2531
"{Organic Raspberry Lowfat Yogurt} => {Yogurt, Lowfat, Strawberry}",0.00061371,0.374312275,149.8588792,1973
{Peanut Butter Creamy With Salt} => {Banana},0.000630818,0.324635825,2.208507346,2028
{Grade A Large Brown Eggs} => {Bag of Organic Bananas},0.000611533,0.307764559,2.607522144,1966
"{Peach,  Apricot & Banana Stage 2 Baby Food} => {Baby Food Stage 2 Blueberry Pear & Purple Carrot}",0.000508263,0.320580734,117.2099017,1634
{Cherry Pie Fruit & Nut Bar} => {Apple Pie Fruit & Nut Food Bar},0.00062273,0.361306623,155.3712238,2002
{Whole Wheat English Muffins} => {Banana},0.000649792,0.320055156,2.177344911,2089
{Yotoddler Organic Pear Spinach Mango Yogurt} => {Organic Whole Milk Strawberry Beet Berry Yogurt Pouch},0.000878106,0.460897959,235.9065222,2823
{Organic Whole Milk Strawberry Beet Berry Yogurt Pouch} => {Yotoddler Organic Pear Spinach Mango Yogurt},0.000878106,0.449450724,235.9065222,2823
"{Organic Pears, Peas and Broccoli Puree Stage 1} => {Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food}",0.000598779,0.382475661,220.3209204,1925
"{Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food} => {Organic Pears, Peas and Broccoli Puree Stage 1}",0.000598779,0.344920265,220.3209204,1925
{Blueberry Muffin Bar} => {Apple Pie Fruit & Nut Food Bar},0.000567985,0.317509998,136.5375385,1826
{Garnet Sweet Potato (Yam)} => {Banana},0.000656013,0.313140312,2.13030302,2109
{Strawberry Rhubarb Yogurt} => {Mixed Berries Whole Milk Icelandic Style Skyr Yogurt},0.000712936,0.348593156,155.1547935,2292
{Mixed Berries Whole Milk Icelandic Style Skyr Yogurt} => {Strawberry Rhubarb Yogurt},0.000712936,0.317319673,155.1547935,2292
{Organic Nonfat Greek Yogurt With Peaches} => {Organic Greek Nonfat Yogurt With Mixed Berries},0.000686808,0.363936047,169.7879171,2208
{Organic Greek Nonfat Yogurt With Mixed Berries} => {Organic Nonfat Greek Yogurt With Peaches},0.000686808,0.320417936,169.7879171,2208
{Curate Melon Pomelo Sparking Water} => {Kiwi Sandia Sparkling Water},0.000701427,0.319858156,112.4074846,2255
{Curate Melon Pomelo Sparking Water} => {Blackberry Cucumber Sparkling Water},0.000743108,0.338865248,96.94839157,2389
{Yellow Straightneck Squash} => {Organic Zucchini},0.000632062,0.313531862,9.615880413,2032
{Blueberry on the Bottom Nonfat Greek Yogurt} => {Strawberry on the Bottom Nonfat Greek Yogurt},0.000860687,0.434107311,182.6941101,2767
{Strawberry on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt},0.000860687,0.362220186,182.6941101,2767
{Blueberry on the Bottom Nonfat Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt},0.000737509,0.371979918,153.6513643,2371
{Peach on the Bottom Nonfat Greek Yogurt} => {Blueberry on the Bottom Nonfat Greek Yogurt},0.000737509,0.304638314,153.6513643,2371
{Pink Lady (Cripps) Apple} => {Banana},0.000875618,0.367110068,2.497460904,2815
{Mixed Berries Whole Milk Icelandic Style Skyr Yogurt} => {Vanilla Skyr Style Yogurt},0.000718224,0.319673266,115.3433525,2309
{YoKids Strawberry Banana/Strawberry Yogurt} => {Banana},0.000629574,0.300341297,2.043230935,2024
{Fat Free Blueberry Yogurt} => {Fat Free Strawberry Yogurt},0.000727867,0.326359833,106.9199776,2340
{Fat Free Blueberry Yogurt} => {Total 0% Raspberry Yogurt},0.000822427,0.368758717,97.54898471,2644
{Cherry Pomegranate Greek Yogurt} => {Banana},0.000666278,0.312335958,2.124830977,2142
{Lemon Sparkling Water} => {Grapefruit Sparkling Water},0.001037366,0.351200505,75.63406845,3335
{Strawberry on the Bottom Nonfat Greek Yogurt} => {Peach on the Bottom Nonfat Greek Yogurt},0.000828959,0.348867653,144.1045287,2665
{Peach on the Bottom Nonfat Greek Yogurt} => {Strawberry on the Bottom Nonfat Greek Yogurt},0.000828959,0.342412951,144.1045287,2665
{Whole Strawberries} => {Banana},0.000946538,0.344933122,2.346590469,3043
{Grape Tomatoes} => {Banana},0.000830204,0.30685215,2.087524465,2669
{Broccoli & Apple Stage 2 Baby Food} => {Spinach Peas & Pear Stage 2 Baby Food},0.000727556,0.342109112,136.8808575,2339
{Kiwi Sandia Sparkling Water} => {Blackberry Cucumber Sparkling Water},0.000982931,0.345430695,98.82674743,3160
{Red Mango} => {Banana},0.000792255,0.308390846,2.097992263,2547
{Red Plums} => {Banana},0.000881528,0.319539971,2.173840093,2834
{Non Fat Acai & Mixed Berries Yogurt} => {Non Fat Raspberry Yogurt},0.000978265,0.36308012,71.27415509,3145
{Non Fat Acai & Mixed Berries Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt},0.001220888,0.453128608,75.64788802,3925
{Raspberry Yoghurt} => {Blueberry Yoghurt},0.000907034,0.348470363,114.4552831,2916
{Black Plum} => {Banana},0.00092943,0.322330097,2.192821408,2988
{Medium Navel Orange} => {Banana},0.001012481,0.326840044,2.223502714,3255
{Fat Free Strawberry Yogurt} => {Total 0% Raspberry Yogurt},0.000935962,0.306634057,81.11493927,3009
{Spinach Peas & Pear Stage 2 Baby Food} => {Baby Food Stage 2 Blueberry Pear & Purple Carrot},0.000758972,0.303671437,111.0275684,2440
{Mandarin Oranges} => {Banana},0.001154011,0.330129916,2.245883814,3710
{Nonfat Icelandic Style Strawberry Yogurt} => {Non Fat Raspberry Yogurt},0.001188538,0.35834193,70.34402845,3821
{Nonfat Icelandic Style Strawberry Yogurt} => {Vanilla Skyr Nonfat Yogurt},0.001212489,0.365563162,64.78004112,3898
{Nonfat Icelandic Style Strawberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt},0.001418096,0.427553221,71.37818638,4559
{Organic Honey Sweet Whole Wheat Bread} => {Bag of Organic Bananas},0.001160543,0.31875267,2.700618449,3731
{Organic Yellow Squash} => {Organic Zucchini},0.001552782,0.444800855,13.64184106,4992
{Organic Nectarine} => {Organic Strawberries},0.001428983,0.350660255,4.259164874,4594
{Berry Medley} => {Banana},0.001401299,0.316651437,2.154189314,4505
{Frozen Broccoli Florets} => {Banana},0.001464754,0.304631906,2.072420077,4709
{Large Yellow Flesh Nectarine} => {Banana},0.001620281,0.340435266,2.315991418,5209
{XL Emerald White Seedless Grapes} => {Banana},0.001734127,0.354193139,2.409586643,5575
{Sparkling Water Berry} => {Sparkling Water Grapefruit},0.001878767,0.346907128,14.69655411,6040
{Asparation/Broccolini/Baby Broccoli} => {Banana},0.001889654,0.36740248,2.49945019,6075
{Non Fat Raspberry Yogurt} => {Vanilla Skyr Nonfat Yogurt},0.001585443,0.311229163,55.15172217,5097
{Non Fat Raspberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt},0.002247055,0.44110643,73.64083669,7224
{Icelandic Style Skyr Blueberry Non-fat Yogurt} => {Non Fat Raspberry Yogurt},0.002247055,0.375136314,73.64083669,7224
{Mango Chunks} => {Banana},0.001744703,0.31691056,2.155952132,5609
{Vanilla Skyr Nonfat Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt},0.002069443,0.366718113,61.2220245,6653
{Icelandic Style Skyr Blueberry Non-fat Yogurt} => {Vanilla Skyr Nonfat Yogurt},0.002069443,0.345484759,61.2220245,6653
{Peach Pear Flavored Sparkling Water} => {Sparkling Water Grapefruit},0.002092461,0.31681816,13.42184944,6727
{Gala Apples} => {Banana},0.002728256,0.36415345,2.477346945,8771
{Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry},0.001954042,0.315551537,48.87072127,6282
{Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 2% Lowfat Greek Strained Yogurt with Peach},0.001954042,0.302630311,48.87072127,6282
{Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt},0.002492788,0.402551738,43.29284836,8014
{Organic Yellow Peaches} => {Organic Strawberries},0.002248922,0.339420684,4.122647596,7230
{Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt},0.002902447,0.449513441,48.34339387,9331
{Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry},0.002902447,0.312146656,48.34339387,9331
{Organic Bosc Pear} => {Bag of Organic Bananas},0.002079086,0.311884653,2.642429469,6684
{No Salt Added Black Beans} => {Banana},0.002723901,0.313601203,2.133438479,8757
{Granny Smith Apples} => {Banana},0.003730162,0.331389726,2.254454335,11992
{Bartlett Pears} => {Banana},0.004255843,0.386355293,2.628386755,13682
"{Clementines, Bag} => {Banana}",0.003858938,0.311512869,2.119231476,12406
{Broccoli Crown} => {Banana},0.004305612,0.329226525,2.239738013,13842
{Organic Navel Orange} => {Bag of Organic Bananas},0.004360669,0.328152431,2.780257526,14019
{Organic D'Anjou Pears} => {Bag of Organic Bananas},0.004636263,0.304712256,2.58166164,14905
{Organic Large Extra Fancy Fuji Apple} => {Bag of Organic Bananas},0.00726747,0.31083616,2.63354616,23364
{Honeycrisp Apple} => {Banana},0.008836427,0.356128321,2.422751745,28408
{Organic Fuji Apple} => {Banana},0.010558112,0.378692878,2.576259109,33943
{Cucumber Kirby} => {Banana},0.009983906,0.329825823,2.24381506,32097
{Organic Avocado} => {Banana},0.016608738,0.301982298,2.054394714,53395
"{Non Fat Acai & Mixed Berries Yogurt,Non Fat Raspberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.000587892,0.600953895,100.3266891,1890
"{Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Acai & Mixed Berries Yogurt} => {Non Fat Raspberry Yogurt}",0.000587892,0.481528662,94.52610228,1890
"{Non Fat Raspberry Yogurt,Nonfat Icelandic Style Strawberry Yogurt} => {Vanilla Skyr Nonfat Yogurt}",0.000545589,0.459042136,81.34509021,1754
"{Nonfat Icelandic Style Strawberry Yogurt,Vanilla Skyr Nonfat Yogurt} => {Non Fat Raspberry Yogurt}",0.000545589,0.449974346,88.33185718,1754
"{Non Fat Raspberry Yogurt,Vanilla Skyr Nonfat Yogurt} => {Nonfat Icelandic Style Strawberry Yogurt}",0.000545589,0.344123995,103.7527228,1754
"{Non Fat Raspberry Yogurt,Nonfat Icelandic Style Strawberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.000657257,0.552996598,92.32042292,2113
"{Icelandic Style Skyr Blueberry Non-fat Yogurt,Nonfat Icelandic Style Strawberry Yogurt} => {Non Fat Raspberry Yogurt}",0.000657257,0.463478833,90.98284484,2113
"{Nonfat Icelandic Style Strawberry Yogurt,Vanilla Skyr Nonfat Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.000668455,0.551308363,92.03857938,2149
"{Icelandic Style Skyr Blueberry Non-fat Yogurt,Nonfat Icelandic Style Strawberry Yogurt} => {Vanilla Skyr Nonfat Yogurt}",0.000668455,0.471375302,83.5306031,2149
"{Icelandic Style Skyr Blueberry Non-fat Yogurt,Vanilla Skyr Nonfat Yogurt} => {Nonfat Icelandic Style Strawberry Yogurt}",0.000668455,0.323012175,97.38754975,2149
"{Peach Pear Flavored Sparkling Water,Sparkling Water Berry} => {Sparkling Water Grapefruit}",0.000615887,0.573414422,24.29242703,1980
"{Sparkling Water Berry,Sparkling Water Grapefruit} => {Peach Pear Flavored Sparkling Water}",0.000615887,0.32781457,49.63417965,1980
"{Sparkling Lemon Water,Sparkling Water Berry} => {Lime Sparkling Water}",0.00060189,0.512718601,35.41283246,1935
"{Lime Sparkling Water,Sparkling Water Berry} => {Sparkling Lemon Water}",0.00060189,0.460166468,45.119471,1935
"{Sparkling Lemon Water,Sparkling Water Berry} => {Sparkling Water Grapefruit}",0.000711381,0.605988341,25.67240549,2287
"{Sparkling Water Berry,Sparkling Water Grapefruit} => {Sparkling Lemon Water}",0.000711381,0.378642384,37.12600817,2287
"{Lime Sparkling Water,Sparkling Water Berry} => {Sparkling Water Grapefruit}",0.000826782,0.632104637,26.77880984,2658
"{Sparkling Water Berry,Sparkling Water Grapefruit} => {Lime Sparkling Water}",0.000826782,0.440066225,30.39482373,2658
"{Blackberries,Raspberries} => {Strawberries}",0.000609355,0.332597623,7.479901861,1959
"{Blackberries,Strawberries} => {Raspberries}",0.000609355,0.356505914,19.88413593,1959
"{Non Fat Raspberry Yogurt,Vanilla Skyr Nonfat Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.000910767,0.574455562,95.90290548,2928
"{Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Raspberry Yogurt} => {Vanilla Skyr Nonfat Yogurt}",0.000910767,0.405315615,71.8244202,2928
"{Icelandic Style Skyr Blueberry Non-fat Yogurt,Vanilla Skyr Nonfat Yogurt} => {Non Fat Raspberry Yogurt}",0.000910767,0.44010221,86.39391529,2928
"{Banana,Non Fat Raspberry Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.000605,0.485764236,81.0962669,1945
"{Banana,Icelandic Style Skyr Blueberry Non-fat Yogurt} => {Non Fat Raspberry Yogurt}",0.000605,0.381073668,74.80636419,1945
"{Banana,Vanilla Skyr Nonfat Yogurt} => {Icelandic Style Skyr Blueberry Non-fat Yogurt}",0.000525059,0.38276644,63.90122427,1688
"{Banana,Icelandic Style Skyr Blueberry Non-fat Yogurt} => {Vanilla Skyr Nonfat Yogurt}",0.000525059,0.330721003,58.60579618,1688
"{Peach Pear Flavored Sparkling Water,Sparkling Lemon Water} => {Lime Sparkling Water}",0.000583538,0.572474825,39.54012008,1876
"{Lime Sparkling Water,Peach Pear Flavored Sparkling Water} => {Sparkling Lemon Water}",0.000583538,0.44476055,43.60891572,1876
"{Peach Pear Flavored Sparkling Water,Sparkling Lemon Water} => {Sparkling Water Grapefruit}",0.000648548,0.63625267,26.95453926,2085
"{Peach Pear Flavored Sparkling Water,Sparkling Water Grapefruit} => {Sparkling Lemon Water}",0.000648548,0.309944998,30.39020723,2085
"{Lime Sparkling Water,Peach Pear Flavored Sparkling Water} => {Sparkling Water Grapefruit}",0.000850422,0.64817449,27.45960146,2734
"{Peach Pear Flavored Sparkling Water,Sparkling Water Grapefruit} => {Lime Sparkling Water}",0.000850422,0.406421882,28.07105103,2734
"{Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry}",0.000710759,0.461150353,71.42018887,2285
"{Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 2% Lowfat Greek Strained Yogurt with Peach}",0.000710759,0.431783825,69.72727504,2285
"{Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% Greek Strained Yogurt with Cherry 5.3 oz}",0.000710759,0.363737663,64.80662581,2285
"{Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}",0.00074933,0.48617558,52.28626208,2409
"{Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Lowfat Greek Strained Yogurt with Peach}",0.00074933,0.446028513,72.02760049,2409
"{Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Greek Strained Yogurt with Cherry 5.3 oz}",0.00074933,0.300598952,53.55729077,2409
"{Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}",0.000799409,0.4856387,52.22852272,2570
"{Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% with Strawberry Lowfat Greek Strained Yogurt} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry}",0.000799409,0.475837808,73.69489337,2570
"{Banana,Total 2% Greek Strained Yogurt with Cherry 5.3 oz} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}",0.000502975,0.303263316,32.61477099,1617
"{Organic Hass Avocado,Organic Large Green Asparagus} => {Bag of Organic Bananas}",0.000553987,0.374631889,3.174052759,1781
"{Bag of Organic Bananas,Organic Large Green Asparagus} => {Organic Hass Avocado}",0.000553987,0.351559416,5.291684888,1781
"{Organic Cilantro,Organic Jalapeno Pepper} => {Limes}",0.00053408,0.408420552,9.33690268,1717
"{Limes,Organic Jalapeno Pepper} => {Organic Cilantro}",0.00053408,0.316381058,14.62984346,1717
"{Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% Lowfat Greek Strained Yogurt With Blueberry}",0.000573584,0.496099005,76.83282548,1844
"{Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% Lowfat Greek Strained Yogurt With Blueberry} => {Total 2% Lowfat Greek Strained Yogurt with Peach}",0.000573584,0.470888662,76.04217983,1844
"{Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach} => {Total 2% with Strawberry Lowfat Greek Strained Yogurt}",0.001161165,0.594237504,63.90789487,3733
